name,has_main_facilities,has_security_features,has_parking_safety,has_building_facilities,has_other_features,HighFloor,MidFloor,has_modern,has_facilities,has_green_view,has_water_feature,Bedroom_1,Bedroom_2,Bedroom_3,Bedroom_above 3,Bathroom_1,Bathroom_2,Bathroom_above 2,city_Mansoura,city_New Administrative Capital,city_New Cairo,city_North Coast,city_Old Cairo,propertyCategory_Commercial,propertySubType_Attached Houses,propertySubType_Office,propertySubType_Others(very rare),propertySubType_Retail,log(sqm),log(price),log(price/sqm),Is log(price/sqm) outlier,Is log(sqm) outlier,Is log(price) outlier
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.934473933130692,15.768396320756011,10.83392238731322,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.324472324024888,15.649850474727447,10.325378150649852,False,False,False
Latin City,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,15.977683497241577,10.644964703297264,False,False,False
Mazarine Apartment,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,16.45099006623165,10.92156097949442,False,False,False
Mazarine Apartment,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.442417710521793,16.141128350068893,10.698710639576417,False,False,False
Beachfront Tower - B1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37989735354046,17.156391603618374,11.77649424986548,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,5.777652323222656,16.255071105985397,10.477418783809131,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.555664766084252,14.983337915653856,10.427673150086868,False,False,False
Mazarine Apartment,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.438079308923196,16.33336830789196,10.89528899840434,False,False,False
PODIA,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.718498871295094,16.523160679045144,11.80466180775005,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.356586274672012,16.195519547923123,10.838933272621771,False,False,False
Downtown Extension,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.153291594497779,15.93992546528684,10.786633870860763,False,False,False
Mazarine Apartment,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,16.264876382166516,10.735447294516934,False,False,False
Downtown Extension,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.438079308923196,15.87014698072514,10.4320676723145,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.124113611368292,10.59302062757738,False,False,False
New Garden City,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.5909869805108565,16.198107588927705,10.607120608638391,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,14.994780749649838,10.463687766804066,False,False,False
Mamsha Avenue,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.14166355650266,15.61009935420249,10.468435797616731,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.471524501118173,15.3639237685606,10.892399267400547,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.210600077024653,16.323075231644857,10.112475155532628,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.4752075333447845,15.611925838728522,10.136718304544322,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.480638923341991,16.339958382372807,10.859319459671635,False,False,False
PODIA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.658710952916121,17.36276884241063,12.704057889432583,True,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,14.851537971440765,10.32044499012507,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.5093883366279774,16.40537764338876,10.895989307316006,False,False,False
PODIA,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.060443010546419,15.77419589850831,11.713752887877265,False,True,False
New Garden City,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.90527477843843,15.617880206304344,10.712605427453646,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,6.745236349484363,16.976503000383925,10.23126665238299,False,True,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.442417710521793,16.355063208865598,10.912645498967128,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.169801944312609,15.806803712867405,10.637001769738688,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.478219331823224,16.638079212509076,11.159859880876937,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,15.940164442465658,10.607445648985236,False,False,False
Mazarine Apartment,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.976733742420574,16.01073313262982,11.033999390431914,False,False,False
Downtown commercial,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.153291594497779,16.69285336201804,11.539561767857968,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.384724394288775,16.229279179918933,10.844554786164789,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.941642422609304,16.00425483453456,11.062612411252912,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.431842509153028,15.521167328138915,10.089324817811503,False,False,False
Mazarine Apartment,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5.442417710521793,16.33256166107884,10.890143949717796,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.962844630259907,15.957574724123218,10.994730094544302,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5.971261839790462,16.12636139537535,10.155099556536989,False,False,False
Latin City,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.337538079701318,15.730666905336252,10.393128826106356,False,False,False
Latin City,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.442417710521793,15.768396320756011,10.325978609737694,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.480638923341991,16.334657590906975,10.85401866820921,False,False,False
Blu Vert,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.10594547390058,15.927782244234812,10.82183677027375,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,14.759805486248029,10.228712503478889,False,False,False
Latin City,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.407171771460119,15.800229247329224,10.393057476006524,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.016157159698354,16.17163641788635,10.155479257524489,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.552959584921617,16.43305236554498,10.880092780024912,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.442417710521793,16.34944543881963,10.90702772905956,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.50501830403765,15.493541261863989,10.988522957684411,False,False,False
Central,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.722864328804734,16.930979513120597,12.208115184127257,True,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.303553633343283,15.94052280118657,10.636969167178052,False,False,False
Alamain (Latin District),1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.312072331780373,15.83400711401667,10.52193478306571,False,False,False
New Garden City,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.90527477843843,15.569741215299915,10.664466436688445,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.558604855211048,11.027511872999323,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.173434184401347,17.307157842548502,12.133723658224378,True,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.367890069899997,16.21240533042906,10.844515260894612,False,False,False
Latin City,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.356586274672012,16.262455701465157,10.905869426446912,False,False,False
Jade Park,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5.7899601708972535,16.284541858593983,10.494581688941333,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.442417710521793,16.34944543881963,10.90702772905956,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,6.3972629330062665,16.67976646872988,10.282503536039536,False,True,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.298467355299161,17.584401950047596,12.285934594867909,True,False,True
Al Fustat,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.825830657008495,14.988611698623124,10.162781041610604,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,15.838381748155715,10.505662954057014,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.761277839671676,11.2301848566827,False,False,False
Maspero Business Tower Nile Heights,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5.087596335232384,16.263926099169858,11.176329764127622,False,False,False
Beachfront Tower - B1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.736572297479192,17.64747252221749,11.910900224998306,False,False,True
Latin City,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,16.056220247240233,10.723501453549332,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.452252079563379,14.669925886120344,10.217673805453984,False,False,True
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5.888323788188469,16.188647306909264,10.300323519801776,False,False,False
PODIA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.8607297110405954,16.425947930199484,12.565218219048637,True,True,False
Beachfront Tower - B1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.765191102784844,17.629700203043658,11.864509099963268,False,False,True
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.345105528046796,16.189671849447542,10.844566320740348,False,False,False
Mazarine,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5.69035945432406,16.744782464817995,11.054423010921422,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.5266679578331335,14.909780097198247,10.38311213909059,False,False,False
Latin City,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,16.078210717259406,10.74549192496188,False,False,False
Latin City,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.459585514144159,15.99230564490002,10.532720131946608,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.362371395338142,16.20693036465881,10.844558969219744,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.351478914662269,15.440821819554664,10.089342903949875,False,False,False
AlMaqsad Park,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.043425116919247,15.41388752303895,10.37046240591748,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.4510384535657,15.902175944733427,10.45113749154003,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.545177444479562,16.710593423368337,11.165415978181004,False,False,False
New Garden City,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.48863636973214,15.207538450931926,10.718902081398642,False,False,False
Beachfront Tower - B1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.986452005284438,17.807323931538708,11.820871926472172,False,False,True
Downtown Extension,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.157329673247059,15.878568620393589,10.721238947084265,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.176149732573829,16.118495570979647,10.942345838205895,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,14.799086036644026,10.267993052489048,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.441291535499143,15.823724590355742,10.382433055674586,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.160605820672551,15.691917501252616,10.531311680294,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,6.393757964050511,16.678739481705172,10.284981518148438,False,True,False
Mazarine Apartment,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.100543142134219,16.759844268432264,10.659301125550073,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.396759001860069,17.538090710250845,12.141331708174487,True,False,True
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.316599230226049,15.800504048100397,10.48390481888987,False,False,False
New Garden City,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.19295685089021,15.800916107717516,10.607959257925904,False,False,False
Maspero mall,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.804021044733257,16.685509526052503,11.88148848152336,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.147494476813453,15.976532086636531,10.829037610237826,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.90527477843843,15.230878166569871,10.325603388010023,False,False,False
Latin City,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.969813299576001,15.86668121767708,10.89686791727814,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.836281906951478,15.626745803692986,10.79046389765684,False,False,False
Mazarine Apartment,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,16.29941670741869,10.769987620507868,False,False,False
Downtown Extension,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.153291594497779,15.935253958917478,10.781962365032015,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.173434184401347,17.201831160395997,12.02839697606922,False,False,False
PODIA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.204692619390966,16.914701539886494,12.710008920436918,True,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.377729105972199,17.537631345858014,12.15990223986983,True,False,True
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.327876168789581,15.788618888849491,10.460742719253572,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.016157159698354,16.1828528981736,10.166695737725409,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.16043365918465,15.995362885576023,10.834929227024498,False,False,False
New Garden City,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.844187086458591,15.76797063788332,10.923783552134353,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.163314804034641,16.47444054043507,10.311125737800891,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.288822431986235,15.614411135343696,10.325588704439372,False,False,False
Downtown Extension,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.198497031265826,15.746016961867788,10.547519929862082,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.890349128221754,15.874366666035002,10.984017537302847,False,False,False
New Garden City,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.90527477843843,15.608602472426108,10.703327693904455,False,False,False
Beachfront Tower - B1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.986452005284438,18.012366581139453,12.025914575909168,False,False,True
PODIA,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.276666119016055,16.103895301557177,11.8272291828657,False,False,False
Downtown,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7745515455444085,16.23650071533694,10.461949168957496,False,False,False
Mazarine Apartment,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.521460917862246,16.432322278632213,10.910861360769967,False,False,False
Mazarine Apartment,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,16.386977093946385,10.85754800692407,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.564213846927896,16.64854741585949,11.084333568379025,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.444277451991571,15.779400946484008,10.33512349394901,False,False,False
Mazarine Apartment,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.529429087511423,16.44531088774543,10.915881800349352,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,5.977619140285929,16.214768538218582,10.237149397274456,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.473236593575229,16.31776584608689,10.844529252371116,False,False,False
Mazarine Apartment,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.552959584921617,16.45471073451928,10.901751149054885,False,False,False
Al Fustat,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.112951179567857,15.305263627452394,10.192312449215466,False,False,False
BEGONIA,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4.804021044733257,15.802562650350763,10.998541604849752,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.756932389247553,16.895492063963164,10.138559674715612,False,True,False
Latin City,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.529429087511423,16.435166608303888,10.905737520093318,False,False,False
Jade Park,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6.897704943128636,17.325053994124623,10.427349051863391,False,True,False
Latin City,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.795790545596741,15.577154403287706,10.78136385812037,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.13308888718026,17.359653215611527,12.226564328510204,True,False,False
Mazarine Apartment,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.491826112732555,16.360021701571895,10.868195588599882,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.310739886546594,16.155295091947426,10.844555205641702,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.440467758652715,15.822918896744278,10.382451136854998,False,False,False
Mazarine Apartment,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,16.315552095336546,10.78612300792362,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.169801944312609,15.472785799812534,10.30298385605207,False,False,False
Mamsha Avenue,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.14166355650266,15.627236039833209,10.485572482284969,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.35065586581652,10.819562883213113,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.016157159698354,16.163738008837022,10.147580849425282,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.459585514144159,16.328842681935978,10.869257167548826,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.210600077024653,16.27424433344825,10.063644257176378,False,False,False
PODIA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.276666119016055,16.633968515945824,12.357302397025284,True,False,False
Central,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.293556049446326,17.390072838377492,12.09651678894588,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.976733742420574,16.05045900224251,11.073725259607938,False,False,False
AlMaqsad Park,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.043425116919247,15.395107628387354,10.351682510849932,False,False,False
Jade Park,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.631211781821365,16.115793001895643,10.484581219212297,False,False,False
